id,title,description,createdAt,updatedAt
1,Full Stack Developer Bootcamp,"Master full stack development with hands-on projects using React, Node.js, and more.",2024-10-08 07:21:18.521,2024-10-08 07:21:18.521
2,Data Science Essentials,Dive into data analysis techniques and machine learning with Python.,2024-10-08 07:21:18.521,2024-10-08 07:21:18.521
3,Investment Strategies 101,Learn investment fundamentals and advanced portfolio management strategies.,2024-10-08 07:21:18.521,2024-10-08 07:21:18.521
4,Advanced Web Design,Learn to design stunning and responsive websites with advanced CSS techniques.,2024-10-08 07:21:18.521,2024-10-08 07:21:18.521
5,Backend Mastery,"Gain expertise in server-side logic, database handling, and API development.",2024-10-08 07:21:18.521,2024-10-08 07:21:18.521
6,Frontend Techniques,Explore the latest front-end technologies and frameworks for building dynamic user interfaces.,2024-10-08 07:21:18.521,2024-10-08 07:21:18.521
7,SQL Database Administration,Master SQL databases through comprehensive administration and optimization techniques.,2024-10-08 07:21:18.521,2024-10-08 07:21:18.521
8,Cloud Infrastructure Management,Manage and deploy applications effectively in cloud environments like AWS and Azure.,2024-10-08 07:21:18.521,2024-10-08 07:21:18.521
9,Cybersecurity Fundamentals,Understand essential cybersecurity practices to protect networks and data.,2024-10-08 07:21:18.521,2024-10-08 07:21:18.521
10,Artificial Intelligence Basics,Get introduced to AI concepts including neural networks and natural language processing.,2024-10-08 07:21:18.521,2024-10-08 07:21:18.521
11,Machine Learning Advanced,Explore sophisticated machine learning algorithms and their real-world applications.,2024-10-08 07:21:18.521,2024-10-08 07:21:18.521
12,Network Engineering Pro,Develop skills in managing and configuring networks with a focus on modern protocols.,2024-10-08 07:21:18.521,2024-10-08 07:21:18.521
13,Python Programming Complete,Complete guide to programming in Python from basics to advanced libraries.,2024-10-08 07:21:18.521,2024-10-08 07:21:18.521
14,JavaScript Full Course,Comprehensive JavaScript course covering from basics to advanced Node.js.,2024-10-08 07:21:18.521,2024-10-08 07:21:18.521
15,Project Management Principles,Understand the core principles of effective project management across industries.,2024-10-08 07:21:18.521,2024-10-08 07:21:18.521
16,UI/UX Design Innovations,Learn innovative UI/UX design techniques and tools to enhance user experience.,2024-10-08 07:21:18.521,2024-10-08 07:21:18.521
17,Mobile Development with React Native,Develop cross-platform mobile applications using React Native and modern tools.,2024-10-08 07:21:18.521,2024-10-08 07:21:18.521
18,Big Data Analysis,Analyze large data sets effectively to uncover insights and drive business decisions.,2024-10-08 07:21:18.521,2024-10-08 07:21:18.521
19,DevOps Practices,Implement DevOps methodologies to improve software deployment and automation.,2024-10-08 07:21:18.521,2024-10-08 07:21:18.521
20,Blockchain Technology,Explore the fundamentals of blockchain technology and its applications in various sectors.,2024-10-08 07:21:18.521,2024-10-08 07:21:18.521
